地址,GPIB0::18::INSTR,,
型号,E4411B,,
序列号:,MY45113164,,
固件版本,A.14.03,,
开始时间,20:15.3,,
停止时间,20:15.5,,
Time of Capture,20:15.5,,
Total Samples per Trace: ,401,,
Stop Frequency: ,200 MHz,,
Span: ,197.0001 MHz,,
Center Frequency: ,101.49995 MHz,,
Start Frequency: ,2.9999 MHz,,
Sweep Time: ,5.33479 s,,
,,,
Frequency (Hz) ,Trace1 - [View] (dBm),Trace2 - [View] (dBm),Trace3 - [View] (dBm)
50279924,-44.59100113,-56.54700089,-63.02900131
50772424.25,-44.71100006,-56.86500168,-62.73299988
51264924.5,-44.8159996,-56.92100143,-63.08
51757424.75,-44.75200043,-56.79299927,-63.11499985
52249925,-44.85,-56.80500031,-62.94500168
52742425.25,-44.96899948,-56.79399872,-62.69999893
53234925.5,-45.04499969,-56.9070015,-62.93300064
53727425.75,-45.02699814,-56.96099854,-63.03700073
54219926,-44.98999939,-56.92900085,-62.8620015
54712426.25,-45.2590004,-56.93099976,-62.72099884
55204926.5,-45.29499969,-56.8429985,-62.95400055
55697426.75,-45.38499985,-56.8030014,-62.76999863
56189927,-45.52499924,-56.76800156,-62.92199905
56682427.25,-45.51699982,-56.81900024,-62.65799911
57174927.5,-45.5280014,-56.8219986,-62.7069989
57667427.75,-45.60999832,-56.88399887,-63.04900177
58159928,-45.76500092,-56.84199905,-62.75900085
58652428.25,-45.71000061,-56.92699814,-62.57900055
59144928.5,-45.78000031,-56.88999939,-62.90300186
59637428.75,-45.99799881,-56.83499908,-62.67600067
60129929,-45.98299942,-56.72800064,-62.64000137
60622429.25,-46.05600128,-56.83599854,-62.75699814
61114929.5,-46.04400024,-56.88999939,-62.71499832
61607429.75,-46.20900116,-56.8370018,-62.68400009
62099930,-46.08500061,-56.95000076,-62.57599838
62592430.25,-46.33500061,-56.77600098,-62.68900116
63084930.5,-46.32999954,-56.85599899,-62.455
63577430.75,-46.48600159,-56.79199982,-62.71299942
64069931,-46.34399948,-56.85300064,-62.66200073
64562431.25,-46.58099899,-56.93000031,-62.50699814
65054931.5,-46.61599884,-56.90200043,-62.38099869
65547431.75,-46.67799911,-56.6590004,-62.5440007
66039932,-46.52599869,-56.6590004,-62.53000076
66532432.25,-46.71999893,-56.70100021,-62.4170018
67024932.5,-46.7230011,-56.58599854,-62.39100082
67517432.75,-46.99099884,-56.84899902,-62.33500107
68009933,-46.75599823,-56.90999985,-62.49899872
68502433.25,-46.94400177,-56.82799911,-62.41399963
68994933.5,-46.97400055,-56.7820015,-62.42600067
69487433.75,-47.0679985,-56.85499954,-62.27499969
69979934,-46.87199936,-56.80500031,-62.36300095
70472434.25,-47.12799988,-56.74200058,-62.32499893
70964934.5,-46.95599899,-56.89899826,-62.35000046
71457434.75,-47.16299973,-56.65200043,-62.25699814
71949935,-47.04599915,-56.75899887,-62.26199921
72442435.25,-47.14299927,-56.79999924,-62.33699997
72934935.5,-47.09499893,-56.7159996,-62.37100037
73427435.75,-47.30100021,-56.72700119,-62.32599838
73919936,-47.27100143,-56.77999878,-62.42500122
74412436.25,-47.28700027,-56.69599915,-62.32700165
74904936.5,-47.28700027,-56.81200027,-62.23999985
75397436.75,-47.21100006,-56.83100128,-62.30000122
75889937,-47.44000015,-56.66899872,-62.12999924
76382437.25,-47.49699936,-56.77899933,-62.09300049
76874937.5,-47.3840004,-56.69599915,-62.12299927
77367437.75,-47.28299866,-56.70500183,-62.10999878
77859938,-47.49699936,-56.84899902,-62.27200134
78352438.25,-47.60999832,-56.74399948,-62.43400009
78844938.5,-47.56500015,-56.74499893,-61.94999893
79337438.75,-47.62799988,-56.79000092,-62.03299911
79829939,-47.4370018,-56.72000122,-62.17600067
80322439.25,-47.66600189,-56.73199844,-61.87700089
80814939.5,-47.74899826,-56.76499939,-62.02400024
81307439.75,-47.86399994,-56.69300079,-62.05999954
81799940,-47.82700119,-56.66199875,-62.01999863
82292440.25,-47.92500076,-56.8219986,-62.02800186
82784940.5,-47.99400101,-56.74100113,-61.94000061
83277440.75,-47.9730011,-56.7859993,-62.05100067
83769941,-47.96299896,-56.76599884,-62.05800064
84262441.25,-47.92500076,-56.79899979,-62.06500061
84754941.5,-48.10799942,-56.77600098,-62.03899963
85247441.75,-48.06099854,-56.72600174,-61.96299942
85739942,-48.01899872,-56.78499985,-61.96000107
86232442.25,-48.20699844,-56.875,-61.90600021
86724942.5,-48.25399933,-56.72000122,-62.19899948
87217442.75,-48.26899872,-56.77299881,-61.87100037
87709943,-48.38699875,-56.84700012,-62.25300034
88202443.25,-48.59300003,-56.85800171,-62.09399994
88694943.5,-48.40400085,-56.88199997,-62.04500015
89187443.75,-48.37799988,-56.87400055,-61.91000183
89679944,-48.37700043,-56.83499908,-62.01899918
90172444.25,-48.47200165,-56.83599854,-61.97099884
90664944.5,-48.67600021,-56.81600189,-61.89000137
91157444.75,-48.62600098,-56.72399902,-62.03800018
91649945,-48.54599915,-57.06499863,-62.05999954
92142445.25,-48.83500061,-56.99300003,-62.13099869
92634945.5,-48.93100128,-56.83300018,-61.98499878
93127445.75,-48.95400009,-56.9469986,-62.04900177
93619946,-48.99799881,-57.00299835,-62.00399979
94112446.25,-48.94199905,-56.99000168,-61.92600067
94604946.5,-48.9219986,-56.98899841,-61.92500122
95097446.75,-48.95300064,-56.90499878,-62.03399857
95589947,-49.12799988,-57.05400085,-61.98299988
96082447.25,-49.18399963,-56.95700073,-62.06300171
96574947.5,-49.04400024,-57.04600143,-61.79699905
97067447.75,-49.34700165,-57.01699829,-61.89900024
97559948,-49.21399841,-57.04499817,-62.00599869
98052448.25,-49.41999969,-57.11800003,-61.97500046
98544948.5,-49.33600006,-57.11999893,-61.96499832
99037448.75,-49.44199905,-57.05099869,-61.94199951
99529949,-49.46299896,-57.13199997,-61.88699921
100022449.3,-49.47200165,-57.04700089,-61.90099915
100514949.5,-49.64700089,-57.02999878,-61.955
101007449.8,-49.71600113,-57.2140007,-62.11900146
101499950,-49.63499985,-57.10400009,-62.28299911
101992450.3,-49.66499863,-57.08200073,-62.01399811
102484950.5,-49.78500137,-57.06700134,-61.91599854
102977450.8,-49.78700027,-57.11999893,-61.94100006
103469951,-49.88499985,-57.2519989,-61.92500122
103962451.3,-49.79400024,-57.25999832,-61.92899902
104454951.5,-49.80100021,-57.2179985,-61.87299927
104947451.8,-50.05399857,-57.32799911,-61.94399841
105439952,-49.89800034,-57.20999908,-62.03500183
105932452.3,-49.98299942,-57.19800186,-62.10000046
106424952.5,-50.08799896,-57.22200012,-61.83899887
106917452.8,-50.21800003,-57.17100143,-61.94100006
107409953,-50.01699982,-57.38600159,-61.89999969
107902453.3,-50.33199844,-57.2120018,-61.94600113
108394953.5,-50.24500046,-57.2519989,-61.85600098
108887453.8,-50.32999954,-57.29899979,-61.94700058
109379954,-50.30100021,-57.10699844,-61.78600128
109872454.3,-50.3820015,-57.32400131,-61.82700165
110364954.5,-50.27200089,-57.33599854,-61.85099991
110857454.8,-50.35600052,-57.29499817,-61.80900009
111349955,-50.41499863,-57.31200027,-61.73800095
111842455.3,-50.57200012,-57.30500031,-61.9190007
112334955.5,-50.40599976,-57.31999969,-61.77100189
112827455.8,-50.47400055,-57.2519989,-61.85899933
113319956,-50.67799911,-57.23099899,-61.79500015
113812456.3,-50.62000046,-57.3730011,-61.87800034
114304956.5,-50.73100052,-57.43299866,-61.7429982
114797456.8,-50.87999878,-57.45999908,-61.73000153
115289957,-50.78999863,-57.20500183,-61.76099976
115782457.3,-50.87500153,-57.25500107,-61.89100082
116274957.5,-50.85400162,-57.4640007,-61.77599915
116767457.8,-50.85999832,-57.34999847,-61.77300079
117259958,-50.66700134,-57.42100143,-61.7429982
117752458.3,-50.7969986,-57.2159996,-61.64200027
118244958.5,-50.95100174,-57.30699921,-62.07700165
118737458.8,-50.76899872,-57.32600021,-61.97099884
119229959,-50.89499817,-57.43000031,-61.97300156
119722459.3,-51.07600174,-57.40100098,-61.78500183
120214959.5,-50.93800125,-57.35100174,-61.82000168
120707459.8,-50.94999847,-57.31200027,-62.04099854
121199960,-51.0659996,-57.38100052,-61.85399826
121692460.3,-51.15599976,-57.44599915,-61.85999878
122184960.5,-51.20800171,-57.43700027,-61.91399963
122677460.8,-51.23800049,-57.27000046,-61.98299988
123169961,-51.12700043,-57.35499954,-62.03299911
123662461.3,-51.15599976,-57.43299866,-61.87800034
124154961.5,-51.12199936,-57.36600113,-62.00499924
124647461.8,-51.35699997,-57.44800186,-61.96499832
125139962,-51.36699829,-57.36500168,-61.98299988
125632462.3,-51.14800034,-57.24599838,-61.85799988
126124962.5,-51.12799988,-57.375,-61.97199829
126617462.8,-51.3120018,-57.47499847,-61.96800049
127109963,-51.27499924,-57.3730011,-61.96899994
127602463.3,-51.41000137,-57.17100143,-61.8640004
128094963.5,-51.39999924,-57.3370018,-61.92400177
128587463.8,-51.27599869,-57.32300186,-61.87000092
129079964,-51.33899841,-57.24499893,-61.89900024
129572464.3,-51.48000107,-57.41799927,-61.97699936
130064964.5,-51.4030014,-57.31200027,-61.83899887
130557464.8,-51.49699936,-57.37200165,-61.6670018
131049965,-51.43300018,-57.32600021,-61.9019986
131542465.3,-51.29599915,-57.27399826,-61.96800049
132034965.5,-51.53999863,-57.32799911,-62.03000076
132527465.8,-51.51799927,-57.43700027,-61.97699936
133019966,-51.71600113,-57.4109993,-61.78800018
133512466.3,-51.7269989,-57.35900116,-62.16100128
134004966.5,-51.7590004,-57.48099899,-61.87000092
134497466.8,-51.76999817,-57.44200134,-62.13500031
134989967,-51.78099976,-57.4129982,-61.72899826
135482467.3,-51.85,-57.3030014,-62.03000076
135974967.5,-51.76500092,-57.46699905,-61.67000015
136467467.8,-51.94199905,-57.49200058,-61.61900146
136959968,-51.75200043,-57.43399811,-61.7429982
137452468.3,-51.7609993,-57.41199875,-61.76600082
137944968.5,-51.77300034,-57.50299835,-61.91200073
138437468.8,-51.96999893,-57.48699951,-61.82100113
138929969,-51.89600143,-57.34999847,-61.63500031
139422469.3,-51.91200027,-57.49399948,-61.60899933
139914969.5,-51.90400085,-57.42100143,-61.68400009
140407469.8,-52.07100067,-57.57699966,-61.87299927
140899970,-51.99599991,-57.37099838,-61.91499908
141392470.3,-51.9429985,-57.41600037,-61.52800186
141884970.5,-52.12099991,-57.39899826,-61.63699921
142377470.8,-52.0640007,-57.34799957,-61.87299927
142869971,-52.19600067,-57.3429985,-61.75200089
143362471.3,-52.18200073,-57.42399979,-61.58299835
143854971.5,-52.2629982,-57.36800003,-61.50699814
144347471.8,-52.22099838,-57.46300125,-61.42799957
144839972,-52.26199875,-57.2480011,-61.50300034
145332472.3,-52.21000061,-57.41199875,-61.35500153
145824972.5,-52.17699966,-57.44499969,-61.5819989
146317472.8,-52.25399933,-57.44400024,-61.55999954
146809973,-52.26500092,-57.32899857,-61.46299942
147302473.3,-52.25100098,-57.61999893,-61.56300171
147794973.5,-52.39600143,-57.40299988,-61.75499924
148287473.8,-52.31500015,-57.53499985,-61.76099976
148779974,-52.50100098,-57.48400116,-61.69500168
149272474.3,-52.45499954,-57.3730011,-61.64700134
149764974.5,-52.30399857,-57.48300171,-62.02599915
150257474.8,-52.21800003,-57.46699905,-61.98200043
150749975,-52.43200073,-57.36600113,-61.77300079
151242475.3,-52.46100006,-57.375,-61.58299835
151734975.5,-52.53700027,-57.54299927,-61.47599991
152227475.8,-52.41499863,-57.46099854,-61.69600113
152719976,-52.61499939,-57.48799896,-61.72400101
153212476.3,-52.49400101,-57.63499832,-61.60700043
153704976.5,-52.80999908,-57.61000061,-61.32399948
154197476.8,-52.75599823,-57.39199829,-61.48399933
154689977,-52.80299911,-57.54700089,-61.40500076
155182477.3,-52.60400162,-57.52099991,-61.21899994
155674977.5,-52.70200119,-57.56800079,-61.65400131
156167477.8,-52.51999817,-57.64799881,-61.71499832
156659978,-52.91499863,-57.50899887,-61.57300003
157152478.3,-52.69400177,-57.54700089,-61.74600037
157644978.5,-52.98899994,-57.42599869,-61.92400177
158137478.8,-52.71800003,-57.58100128,-61.73100098
158629979,-52.82100067,-57.61500168,-61.37199982
159122479.3,-52.78000031,-57.54199982,-61.48399933
159614979.5,-53.1929985,-57.59500122,-61.56500061
160107479.8,-53.09599838,-57.69599915,-61.58999832
160599980,-53.21800003,-57.5909996,-61.64200027
161092480.3,-53.04900131,-57.52899933,-61.25499924
161584980.5,-53.2269989,-57.79600143,-61.33299835
162077480.8,-52.94799957,-57.74399948,-61.43100174
162569981,-53.21100006,-57.71699905,-61.38500031
163062481.3,-52.86399994,-57.77500153,-61.58400162
163554981.5,-53.07100067,-57.67900085,-61.48999985
164047481.8,-53.07000122,-57.61399841,-61.65300186
164539982,-53.17400131,-57.70399857,-61.28600128
165032482.3,-53.16600189,-57.67699814,-61.46399887
165524982.5,-53.3159996,-57.64300156,-61.37800034
166017482.8,-53.1929985,-57.56600189,-61.65300186
166509983,-53.14399872,-57.70999908,-61.64100082
167002483.3,-53.14000092,-57.76300049,-61.58099945
167494983.5,-53.33899841,-57.70999908,-61.58400162
167987483.8,-53.26400146,-57.61700058,-61.66300018
168479984,-53.29499969,-57.73899841,-61.60000046
168972484.3,-53.34200058,-57.69200134,-61.61099823
169464984.5,-53.28000031,-57.76699829,-61.63199814
169957484.8,-53.38499985,-57.56499863,-61.52900131
170449985,-53.20300064,-57.73899841,-61.43599899
170942485.3,-53.28199921,-57.6590004,-61.73999985
171434985.5,-53.2780014,-57.70800018,-61.43400009
171927485.8,-53.33699951,-57.66899872,-61.42799957
172419986,-53.28799973,-57.73500061,-61.47199829
172912486.3,-53.27599869,-57.6969986,-61.63099869
173404986.5,-53.27399979,-57.70700073,-61.63599976
173897486.8,-53.51699982,-57.60599899,-61.53999908
174389987,-53.36800156,-57.7519989,-61.58299835
174882487.3,-53.54599915,-57.5530014,-61.53000076
175374987.5,-53.33199844,-57.57600021,-61.5819989
175867487.8,-53.39700089,-57.79999924,-61.80000122
176359988,-53.41800079,-57.77099991,-61.87100037
176852488.3,-53.41700134,-57.63700104,-61.73299988
177344988.5,-53.48600159,-57.76900101,-61.80200012
177837488.8,-53.52300034,-57.79199982,-61.69600113
178329989,-53.37600098,-57.75799942,-61.86099823
178822489.3,-53.51899872,-57.72100067,-61.87499817
179314989.5,-53.61399994,-57.7820015,-61.54300125
179807489.8,-53.44500122,-57.68600082,-61.90699966
180299990,-53.48800049,-57.77500153,-61.78899963
180792490.3,-53.66900024,-57.71300125,-61.69600113
181284990.5,-53.44400177,-57.64799881,-61.67199905
181777490.8,-53.46299896,-57.59000015,-61.78899963
182269991,-53.5980011,-57.71699905,-61.9019986
182762491.3,-53.52900085,-57.9129982,-61.74699982
183254991.5,-53.61399994,-57.9070015,-61.88099869
183747491.8,-53.58699951,-57.77600098,-61.74199875
184239992,-53.71600113,-57.69200134,-61.78199966
184732492.3,-53.62000046,-57.72800064,-61.59499939
185224992.5,-53.74599991,-57.70399857,-61.86900146
185717492.8,-53.60600052,-57.85400009,-61.71000107
186209993,-53.7590004,-57.85300064,-61.93800171
186702493.3,-53.62299881,-57.85200119,-61.89100082
187194993.5,-53.73600159,-57.79999924,-61.74400146
187687493.8,-53.71000061,-57.78099823,-61.75399979
188179994,-53.91299973,-57.89500046,-61.71499832
188672494.3,-53.7609993,-57.8769989,-61.82100113
189164994.5,-53.86100159,-57.78699875,-61.83099945
189657494.8,-53.76999817,-57.76900101,-61.68699844
190149995,-54.0070015,-57.79899979,-61.63400085
190642495.3,-53.8519989,-57.9640007,-61.82700165
191134995.5,-53.9219986,-57.77600098,-61.78800018
191627495.8,-53.8879982,-57.80699921,-61.73100098
192119996,-53.99099884,-57.8370018,-61.89200027
192612496.3,-53.9390007,-57.95600128,-61.73100098
193104996.5,-53.97799835,-57.84799957,-61.7390004
193597496.8,-54.07399902,-57.95800018,-61.89100082
194089997,-53.9409996,-58.02999878,-61.75599869
194582497.3,-53.98000107,-57.85499954,-61.82000168
195074997.5,-54.02499924,-57.95899963,-61.78199966
195567497.8,-54.03199921,-57.73600006,-61.73999985
196059998,-54.0469986,-58.00799942,-61.85999878
196552498.3,-53.88099823,-57.85699844,-61.69600113
197044998.5,-54.21399841,-57.88800049,-61.73800095
197537498.8,-54.07299957,-57.88399887,-61.94100006
198029999,-54.11100159,-57.74900055,-61.68699844
198522499.3,-53.88900146,-57.8390007,-61.73100098
199014999.5,-54.01799927,-57.93999863,-61.58099945
199507499.8,-53.94700012,-57.92200089,-61.71899994
200000000,-54.12000046,-57.88399887,-61.80999954
